지역,1인가구비율,1인당 자동차 등록대수,EQ-5D지표,가구수,건강보험 적용인구 현황,고령인구비율,교원1인당 학생수,남녀성비,노인 천명당 노인여가복지시설수,대학교 수,대학교 학생수,도시지역면적,등록외국인 현황,비만율,사망률,사망자수,소년·소녀가정현황,순이동인구,스트레스 인지율,아파트매매가격지수,아파트월세통합가격지수,유아 천명당 보육시설수,음주율,흡연율,인구 십만명당 문화기반시설수,인구 십만명당 사회복지시설수,인구 십만명당 자살률,인구 천명당 사설학원수,인구 천명당 사업체수,인구 천명당 외국인수,인구 천명당 의료기관병상수,인구 천명당 의료기관종사의사수,인구 천명당 종사자수,인구증가율,일반회계중 사회복지예산비중,일반회계중 일반공공행정예산비중,자동차 천대당 교통사고발생건수,장애인고용률,재정자주도,전입인구,전출인구,조이혼율,조혼인율,주관적건강수준 인지율,주민등록인구,주택월세통합가격지수,지가변동률,초등학교수,출생아수,토지거래 면적,토지거래현황,폐수배출업소수,합계출산율,총합계,공원율,다문화학생수,한부모가구수,아파트비율,주택보급율, cctv대수,단순직비율,전문직비율,서비스.사무직,1차산업비율,2차산업비율,3차산업비율,체육시설,강력범죄발생건수,유치원 교원비율,초등학교 교원비율
동대문구,0.673640167364017,0.21052631578947367,0.6551724137931032,0.5340326136785347,0.4159113007830334,0.7451327433628316,1.0,0.6861614497528832,0.3450292397660819,0.6666666666666666,0.8101554427422616,0.13513513513513514,0.312855151710089,0.2816901408450705,0.8030244280728962,0.5515911282545806,0.16666666666666666,0.7389961022910922,0.28037383177570074,0.7428571428571438,0.2765957446808507,0.5377192982456139,1.0,0.35526315789473717,0.06147434227663455,0.46897093479968577,0.857142857142857,0.08974358974358973,0.09690952895239678,0.3287489812550938,0.7763224181360202,0.17914919113241462,0.0699059031234153,0.6936936936936937,0.6589762076423935,0.3339731285988484,0.5942492012779552,0.2024390243902438,0.2980392156862741,0.40597338880159173,0.41460910967206493,0.5454545454545454,0.28125,0.48066298342541414,0.43852150049853245,0.13333333333333286,0.32608695652173925,0.29999999999999993,0.3566993791307831,0.22000000000000003,0.22000000000000003,0.07349665924276169,0.41292134831460636,0.46377711369404334,0.015030441400304406,0.005419940209951615,0.4130925507900677,0.3700828040740286,1.0,0.3032490974729242,0.627758835009246,0.15407698941332748,0.8324842779029549,0.19646429220897305,0.49776624929270985,0.5023753432408178,0.08502024291497975,0.3453720813035444,0.7795016552952343,0.41115888016097024
동작구,0.5648535564853557,0.10526315789473673,0.2758620689655231,0.6068567312100241,0.5057681617339443,0.5327433628318583,0.63768115942029,0.337726523887973,0.3508771929824561,0.5,0.49485601329799184,0.16216216216216217,0.271630749437118,0.3943661971830985,0.4335013571151609,0.476374156219865,0.5,0.5262857686091833,0.542056074766355,0.35714285714285765,0.25531914893617014,0.3464912280701754,0.30208333333333304,0.22368421052631593,0.020317791091430063,0.24587588373919875,0.5129870129870131,0.13461538461538466,0.008286948575226369,0.25050937245313776,0.28916876574307304,0.09286998202516474,0.026059763724808886,0.4932432432432432,0.7858687815428984,0.5220729366602687,0.2383386581469648,0.1341463414634146,0.2313725490196077,0.5269786002554856,0.5803675755954267,0.18181818181818188,0.625,0.16022099447513805,0.5142610214958219,0.2888888888888914,0.37826086956521743,0.29999999999999993,0.5481674344081714,0.5175000000000001,0.5175000000000001,0.0,0.5589887640449436,0.5247437498359564,0.3774733637747336,0.004320976653284833,0.3201655379984951,0.26342431762936847,0.5355191256830603,0.13176895306859207,0.38197270564124686,0.4673890474802439,0.6730461517337591,0.0,0.059563905401811335,0.9406932067963716,0.008097165991902855,0.2368553670418277,0.7332991734598235,0.3390127377043779
마포구,0.5774058577405857,0.36842105263157876,0.3103448275862064,0.5682726101857714,0.4823745837926021,0.38053097345132736,0.536231884057971,0.04942339373970306,0.6432748538011697,0.3333333333333333,0.31346870928613146,0.3783783783783784,0.2334351881633966,0.30985915492957705,0.4280728964715004,0.43587270973963355,0.16666666666666666,0.9365909306968342,0.5607476635514015,0.47142857142857153,0.1489361702127674,0.37631578947368405,0.510416666666667,0.7236842105263155,0.04871060171919771,0.1791044776119403,0.5649350649350648,0.24679487179487178,0.1022264683891335,0.22341075794621026,0.0,0.028759736369083286,0.1487957728402482,0.9864864864864864,0.5529920692141312,0.24568138195777356,0.3559105431309904,0.24146341463414628,0.5098039215686276,0.5811279801942143,0.5384119773295624,0.18181818181818188,1.0,0.45856353591160204,0.4899461061153939,0.2888888888888914,0.7869565217391306,0.33333333333333326,0.5447626677348287,0.3335,0.3335,0.05790645879732739,0.4859550561797752,0.5160026438157264,0.19824961948249623,0.00401270088905693,0.2689992475545523,0.3187636322419999,0.4207650273224042,0.2509025270758123,0.3299321984213709,0.46609658600927795,0.8344392884359992,0.0,0.12605894309032434,0.8742099288246186,0.2388663967611336,0.535864270115908,0.5661366181410972,0.5604005482337135
서대문구,0.5523012552301257,0.1578947368421051,0.3793103448275872,0.3800617782531817,0.3330442407211778,0.805309734513274,0.7203751065643649,0.23146622734761202,0.22807017543859653,1.0,0.8036636865986792,0.21621621621621623,0.2402969872413423,0.09859154929577452,0.7285769678169831,0.3987463837994214,0.0,0.9999999999999999,0.4766355140186911,0.5714285714285712,0.2978723404255348,0.3570175438596489,0.5833333333333339,0.7894736842105261,0.09169054441260746,0.5946582875098193,0.48051948051948057,0.08653846153846154,0.03713549887845809,0.299918500407498,0.5057934508816121,0.2971839424805272,0.056802459165211074,0.9999999999999999,0.48485940879596257,0.7927063339731285,0.2134185303514376,0.09512195121951217,0.47843137254901946,0.40302286935190323,0.3517958350168718,0.2727272727272727,0.125,0.6077348066298343,0.3487070892625648,0.2888888888888914,0.4652173913043478,0.19999999999999996,0.25415581814540356,0.21600000000000003,0.21600000000000003,0.033407572383073486,0.2808988764044944,0.37015195557636055,0.3987823439878234,0.003074140090492302,0.3115124153498871,0.2458212827795372,0.7377049180327866,0.06859205776173286,0.4752818631804905,0.25611397928606483,1.0,0.0,0.0799651560246128,0.9202955641560191,0.42914979757085026,0.2292961532000672,0.8777649892003283,0.48174650790263174
서초구,0.17991631799163177,0.8947368421052633,0.7931034482758648,0.55226593027571,0.616382381651916,0.12212389380530952,0.0,0.035420098846786985,0.368421052631579,0.16666666666666666,0.02328271710319421,1.0,0.06687573710732282,0.028169014084507005,0.028693291973633128,0.34088717454194795,0.3333333333333333,0.65105998669075,0.570093457943925,0.4571428571428573,0.7021276595744688,0.0,0.520833333333333,0.09210526315789513,0.05626465225319094,0.04320502749410843,0.0,0.625,0.12542577054083243,0.044519152404237976,0.27355163727959697,0.2390653085680048,0.25313499740184936,0.6914414414414414,0.3756308579668348,0.7715930902111322,0.2389776357827475,0.24390243902439018,0.8470588235294116,0.6383183169603998,0.659255457394647,0.0,0.375,0.701657458563536,0.6005417448449124,0.2888888888888914,0.6695652173913045,0.4,0.6352894051672341,1.0,1.0,0.2783964365256124,0.5589887640449436,0.5992526311656579,0.4868721461187214,0.0,0.13920240782543264,0.6836955620158119,0.6010928961748627,0.552346570397112,0.0,0.9999999999999999,0.2934038283217024,0.1377391652778916,0.09841308584675118,0.9017155751231467,0.6842105263157895,0.4669914328909794,0.2720941184638108,0.0
성동구,0.4476987447698745,0.4736842105263157,0.8275862068965552,0.34595821781745945,0.30746336515262374,0.438938053097345,0.39727195225916456,0.5461285008237224,1.0,0.3333333333333333,0.3213756233433667,0.1891891891891892,0.1625120617561917,0.16901408450704203,0.45715393563396645,0.2675988428158149,0.0,0.926323795037551,0.1495327102803734,0.6571428571428566,0.2978723404255348,0.3973684210526315,0.47916666666666696,0.3157894736842106,0.09742120343839542,0.0,0.7272727272727271,0.07692307692307696,0.0893702749854615,0.218520782396088,0.22065491183879093,0.09406830437387655,0.11563022369137727,0.9301801801801801,0.42465753424657526,0.4625719769673703,0.19488817891373794,0.1926829268292682,0.5647058823529412,0.31683604833877843,0.2854662400489228,0.45454545454545436,0.59375,0.5524861878453042,0.3203889488541236,0.1777777777777807,0.31304347826086976,0.2666666666666666,0.36991788503905465,0.19,0.19,0.6391982182628062,0.792134831460674,0.30526636708494675,0.19330289193302888,0.005564849737185329,0.2234762979683973,0.49622052098582914,0.8360655737704921,0.3808664259927798,0.6034707902623906,0.3881547408477727,0.23062329532524117,0.0,0.9668313391121439,0.03358622427781466,0.0688259109311741,0.11657987569292799,0.5025610460568077,0.8243086136081157
성북구,0.4100418410041843,0.10526315789473673,0.24137931034483273,0.6724060774083696,0.6013616644093246,0.607079646017699,0.8098891730605287,0.32125205930807166,0.33333333333333326,1.0,1.0,0.4054054054054054,0.22209713734319714,0.23943661971830954,0.6359053896859246,0.7063645130183221,0.0,0.5259530373609658,0.5607476635514015,0.7428571428571438,0.3404255319148959,0.5833333333333331,0.40625,0.5789473684210527,0.06538160979421724,0.4642576590730557,0.35064935064935066,0.0801282051282051,0.018297748608457245,0.17013039934800325,0.27758186397984885,0.05751947273816656,0.022494349804982182,0.5405405405405406,0.6600576784426819,0.5105566218809979,0.28562300319488815,0.4853658536585365,0.2705882352941178,0.5282221141997988,0.5816452447773908,0.36363636363636354,0.0,0.5469613259668509,0.6239456459315823,0.2666666666666657,0.30000000000000004,0.5666666666666667,0.522331263769277,0.28650000000000003,0.28650000000000003,0.0779510022271715,0.5,0.6518870937013439,0.4937214611872145,0.0063100448132075385,0.519563581640331,0.34296565452627925,0.2459016393442619,0.5956678700361011,0.5987620043737918,0.2807035373429986,0.5549458379370558,0.0,0.4733781027452255,0.5269521929252958,0.5020242914979758,0.2502939694271796,0.696916952111192,0.3109098559383212
송파구,0.13389121338912136,0.5263157894736843,0.5172413793103487,0.9801185356589317,0.9999999999999999,0.0,0.19522591645353815,0.27347611202635846,0.20467836257309946,0.16666666666666666,0.03616514668224089,0.6486486486486487,0.13881741181516027,0.09859154929577452,0.06320279177975952,0.6933461909353905,0.3333333333333333,0.5286624203821655,0.11214953271028039,0.29999999999999893,0.12765957446808684,0.4184210526315789,0.8645833333333339,0.0,0.04584527220630373,0.20738413197172037,0.2857142857142858,0.314102564102564,0.04936861344188752,0.05277098614506926,0.3879093198992443,0.16536848412222888,0.08828390586555979,0.6981981981981982,0.599495313626532,0.36084452975047976,0.17316293929712462,0.2512195121951219,0.49411764705882333,0.9260335296578077,0.965306367597436,0.18181818181818188,0.46875,0.6574585635359118,1.0,0.1999999999999993,0.673913043478261,0.8666666666666666,1.0,0.35400000000000004,0.35400000000000004,0.3429844097995546,0.547752808988764,1.0,0.09246575342465754,0.004859404043272668,0.5139202407825433,0.5050750476106849,0.17486338797814227,0.06859205776173286,0.29347867467802224,0.6336848627493848,0.4612944640224814,0.9999999999999999,0.14887224704969776,0.850418210122923,0.4493927125506073,0.6910801276667227,0.5421648137691695,0.3926881145536738
양천구,0.0,0.42105263157894735,0.6896551724137936,0.6037623611080791,0.6598933668527939,0.010619469026548645,0.23699914748508122,0.495881383855024,0.6608187134502925,0.0,0.0,0.1891891891891892,0.06644687466495122,0.0,0.3346258239627762,0.5829315332690453,0.3333333333333333,0.781395569921095,0.2336448598130838,0.4285714285714288,0.23404255319149314,0.6885964912280701,0.33333333333333304,0.1184210526315792,0.012242771555092475,0.46347211311861747,0.6233766233766234,0.46153846153846145,0.01935698263686965,0.036165444172779136,0.22418136020151136,0.06530856800479327,0.02203419541849006,0.7635135135135135,0.6596971881759193,0.3435700575815738,0.09265175718849844,0.5682926829268291,0.30980392156862746,0.5257916096722776,0.5206119707774126,0.18181818181818188,0.0,0.6850828729281768,0.671193054591643,0.48888888888888715,0.40000000000000013,0.6,0.5247346284798718,0.22300000000000003,0.22300000000000003,0.1091314031180401,0.6207865168539324,0.6219990038066825,0.16210045662100456,0.08247296468193185,0.5342362678705793,0.5311478298238992,0.5683060109289615,0.0,0.47921399936138653,0.40318749138983134,0.5636979639037136,0.0,0.16776541888425034,0.8325108288644278,0.4858299595141701,0.31311943557869987,0.8656076986815253,0.1841374342443518
영등포구,0.5355648535564853,0.8421052631578947,0.8275862068965552,0.5842847475386932,0.4952825052485591,0.5504424778761061,0.04944586530264283,0.6614497528830308,0.7953216374269008,0.0,0.0,0.3783783783783784,1.0,0.52112676056338,0.569212873206669,0.48794599807135974,0.0,0.6527236429318375,0.1869158878504673,0.3714285714285719,0.2765957446808507,0.5035087719298245,0.19791666666666696,0.4342105263157894,0.04350091169575411,0.5200314218381776,0.49350649350649345,0.15705128205128202,0.1508889258120794,0.9999999999999999,0.6866498740554157,0.1749550629119233,0.24468318213974918,0.6486486486486487,0.614275414563807,0.4414587332053742,0.4057507987220447,0.28292682926829266,0.5647058823529412,0.439276953164743,0.4666004171535278,0.45454545454545436,0.84375,0.6574585635359118,0.47285009044669635,0.2666666666666657,0.29565217391304366,0.3666666666666666,0.5417584618465852,0.29450000000000004,0.29450000000000004,0.3719376391982182,0.7640449438202244,0.4909005237087573,0.08409436834094366,0.20337065426095577,0.1779533483822423,0.44526454380919966,0.34972677595628454,0.29783393501805056,0.44322624096819996,0.46435416694710197,0.49622771136630206,0.4368805843689021,0.5005905127263709,0.49931538246340956,0.1821862348178138,0.7060305728204268,0.8421558468013663,0.8150107200248722
용산구,0.6025104602510462,0.5263157894736843,0.6896551724137936,0.22308389181165272,0.18520584476490848,0.854867256637168,0.31628303495311183,0.16968698517298275,0.5321637426900585,0.16666666666666666,0.14428995013253065,0.32432432432432434,0.33687144848289907,0.2535211267605635,0.7169445521519966,0.20443587270973962,0.6666666666666666,0.7689419146306682,0.0,0.5428571428571427,0.1914893617021285,0.3421052631578946,0.052083333333333925,0.8289473684210527,0.13102370408960665,0.21838177533385703,0.5389610389610389,0.0032051282051281937,0.0951441389050428,0.5780358598207008,0.1410579345088161,0.08208508088675855,0.12388796023264403,0.6621621621621621,0.3421052631578947,0.5681381957773511,0.6523961661341853,0.13170731707317068,0.6666666666666667,0.1920211623463978,0.20105271204394315,0.45454545454545436,0.46875,1.0,0.20130048693433403,0.08888888888888857,0.0,0.09999999999999998,0.2124974964950931,0.07350000000000001,0.07350000000000001,0.05345211581291759,0.5393258426966288,0.17010057001500206,0.0,0.07610029406177692,0.11700526711813392,0.264717196662309,0.36612021857923516,0.14801444043321302,0.41343146947759,0.4819941393833346,0.5355937913021398,0.0,0.13384656376638937,0.8664236853973915,0.0,0.19418780446833533,0.7397130933437412,0.8364093507980095
