"지역별","지표별",2015
"서울 광진구","도시지역면적 (km²)",17
"서울 광진구","주택전세가격지수",98.2
"서울 광진구","주택수 (호)",79393
"서울 광진구","1인당 자동차 등록대수 (대)",0.27
"서울 광진구","지가변동률 (%)",2.55
"서울 광진구","토지거래 면적 (천㎡)",591
"서울 광진구","주택매매가격지수",96.2
"서울 광진구","아파트월세가격지수 (명)",102.2
"서울 광진구","아파트전세가격지수 (명)",96.6
"서울 광진구","주택월세통합가격지수 (명)",100.9
"서울 광진구","아파트매매가격지수 (명)",94.0
"서울 광진구","주택월세가격지수 (명)",100.9
"서울 광진구","아파트월세통합가격지수 (명)",100.2
"서울 광진구","인구 십만명당 문화기반시설수 (개)",2.50
"서울 광진구","친환경인증 축산물 출하량 (톤)",0
"서울 광진구","친환경인증 농산물 출하량 (톤)",3
"서울 광진구","인구 천명당 사업체수 (개)",68.07
"서울 광진구","재정자주도 (%)",59.3
"서울 광진구","인구 천명당 종사자수 (명)",343.23
"서울 광진구","사업체수 (개)",24531
"서울 광진구","재정자립도 (%)",30.9
"서울 광진구","가구수 (가구)",155242
"서울 광진구","주민 만명당 화재발생건수 (건)",6.69
"서울 광진구","주민 1인당 생활폐기물배출량 (kg/일)",0.94
"서울 광진구","폐수배출업소수 (개소)",52
"서울 광진구","일반폐기물재활용률 (%)",73.78
"서울 광진구","하수도보급률 (%)",100.0
"서울 광진구","상수도보급률 (%)",100.0
"서울 광진구","건강보험 적용인구 현황",356822
"서울 광진구","장애인고용률 (%)",2.66
"서울 광진구","일반회계중 일반공공행정예산비중 (%)",7.50
"서울 광진구","일반회계중 사회복지예산비중 (%)",45.09
"서울 광진구","노인 천명당 노인여가복지시설수 (개)",1.75
"서울 광진구","인구 십만명당 자살률 (명)",20.2
"서울 광진구","인구 십만명당 사회복지시설수 (개)",7.77
"서울 동대문구","사망률 (인구 10만명당 사망자)",515.9
"서울 동대문구","남녀성비 (%)",100.45
"서울 동대문구","인구 천명당 외국인수 (명)",37.96
"서울 동대문구","전입인구 (명)",55990
"서울 동대문구","출생아수 (명)",2687
"서울 동대문구","전출인구 (명)",60917
"서울 동대문구","합계출산율 (명)",0.960
"서울 동대문구","인구증가율 (%)",-0.66
"서울 동대문구","주민등록인구 (명)",360153
"서울 동대문구","등록외국인 현황  (명)",13671
"서울 동대문구","고령인구비율 (%)",14.53
"서울 동대문구","순이동인구 (명)",-4927
"서울 동대문구","사망자수 (명)",1833
"서울 동대문구","혼인건수 (건)",2159
"서울 동대문구","1인가구비율 (%)",36.1
"서울 동대문구","조이혼율 (천명당)",2.0
"서울 동대문구","소년·소녀가정현황 (명)",1
"서울 동대문구","유아 천명당 보육시설수 (개)",14.59
"서울 동대문구","조혼인율 (천명당)",6.1
"서울 동대문구","흡연율 (%)",19.6
"서울 동대문구","주관적건강수준 인지율 (%)",47.4
"서울 동대문구","음주율 (%)",69.7
"서울 동대문구","스트레스 인지율 (%)",30.8
"서울 동대문구","비만율 (%)",24.8
"서울 동대문구","EQ-5D지표",0.957
"서울 동대문구","인구 천명당 의료기관병상수 (개)",17.03
"서울 동대문구","인구 천명당 의료기관종사의사수 (명)",4.74
"서울 동대문구","대학교 수 (개)",4
"서울 동대문구","초등학교수 (개)",21
"서울 동대문구","대학교 교원수 (명)",1827
"서울 동대문구","유치원 교원수 (명)",267
"서울 동대문구","인구 천명당 사설학원수 (개)",0.97
"서울 동대문구","유치원수 (개)",33
"서울 동대문구","유치원 원아수 (명)",3437
"서울 동대문구","초등학교 학생수 (명)",14916
"서울 동대문구","대학교 학생수 (명)",72133
"서울 동대문구","교원1인당 학생수 (명)",24.52
"서울 동대문구","초등학교 교원수 (명)",975
